t_s,x_m,z_m,vx,vz,mach,miss_distance_m
69.96000000000001,9779.423543625146,67.28560440218146,-49.96059472711959,-0.34374508872436366,0.1468211738574464,9779.655014271697
69.97,9778.923937677873,67.28216695129423,-49.96059472717074,-0.3437450887232789,0.14682117385759666,9779.155396499178
69.98,9778.4243317306,67.27872950040701,-49.96059472722126,-0.34374508872220716,0.14682117385774512,9778.655778726657
69.99,9777.924725783329,67.2752920495198,-49.960594727271186,-0.3437450887211482,0.14682117385789178,9778.156160954137
70.0,9777.425119836056,67.2718545986326,-49.960594727320505,-0.34374508872010184,0.1468211738580367,9777.656543181616
70.01,9776.925513888782,67.26841714774541,-49.960594727369234,-0.343745088719068,0.1468211738581799,9777.156925409092
70.02,9776.425907941508,67.26497969685823,-49.96059472741738,-0.3437450887180465,0.14682117385832136,9776.657307636571
70.03,9775.926301994234,67.26154224597106,-49.960594727464944,-0.3437450887170372,0.1468211738584611,9776.157689864049
70.04,9775.426696046958,67.2581047950839,-49.96059472751194,-0.3437450887160399,0.1468211738585992,9775.658072091524
70.05,9774.927090099682,67.25466734419675,-49.960594727558366,-0.3437450887150546,0.1468211738587356,9775.158454319
70.06,9774.427484152406,67.25122989330961,-49.96059472760424,-0.34374508871408105,0.14682117385887036,9774.658836546476
70.07000000000001,9773.92787820513,67.24779244242248,-49.96059472764956,-0.3437450887131191,0.14682117385900353,9774.159218773952
70.08,9773.428272257852,67.24435499153536,-49.96059472769433,-0.34374508871216863,0.14682117385913507,9773.659601001424
70.09,9772.928666310574,67.24091754064825,-49.96059472773857,-0.3437450887112295,0.14682117385926505,9773.1599832289
70.10000000000001,9772.429060363296,67.23748008976115,-49.96059472778227,-0.34374508871030157,0.14682117385939347,9772.660365456373
70.11,9771.929454416018,67.23404263887406,-49.96059472782545,-0.34374508870938475,0.14682117385952034,9772.160747683845
70.12,9771.42984846874,67.23060518798697,-49.96059472786811,-0.34374508870847886,0.1468211738596457,9771.66112991132
70.13,9770.930242521461,67.22716773709989,-49.96059472791026,-0.3437450887075838,0.14682117385976953,9771.161512138793
70.14,9770.430636574181,67.22373028621283,-49.96059472795191,-0.3437450887066994,0.14682117385989188,9770.661894366263
70.15,9769.931030626902,67.22029283532576,-49.96059472799305,-0.3437450887058256,0.14682117386001275,9770.162276593737
70.16,9769.431424679622,67.21685538443872,-49.96059472803369,-0.34374508870496223,0.14682117386013216,9769.66265882121
70.17,9768.93181873234,67.21341793355168,-49.96059472807385,-0.34374508870410914,0.14682117386025018,9769.163041048678
